year,month,station_id,reservoir,volume_af,water_year
2010,9,SYSTEM,ALL,65223.46859999999,2010
2010,10,SYSTEM,ALL,63721.745,2011
2010,11,SYSTEM,ALL,125671.209,2011
2010,12,SYSTEM,ALL,121511.301,2011
2011,1,SYSTEM,ALL,290553.573,2011
2011,2,SYSTEM,ALL,122555.46699999999,2011
2011,3,SYSTEM,ALL,123524.794,2011
2011,4,SYSTEM,ALL,148041.495,2011
2011,5,SYSTEM,ALL,320455.41299999994,2011
2011,6,SYSTEM,ALL,407993.87200000003,2011
2011,7,SYSTEM,ALL,244253.72600000002,2011
2011,8,SYSTEM,ALL,92372.0525,2011
2011,9,SYSTEM,ALL,54338.7081,2011
2011,10,SYSTEM,ALL,75736.6685,2012
2011,11,SYSTEM,ALL,73270.3285,2012
2011,12,SYSTEM,ALL,86664.06,2012
2012,1,SYSTEM,ALL,100378.9545,2012
2012,2,SYSTEM,ALL,108483.063,2012
2012,3,SYSTEM,ALL,92426.885,2012
2012,4,SYSTEM,ALL,262449.782,2012
2012,5,SYSTEM,ALL,413292.373,2012
2012,6,SYSTEM,ALL,383074.793,2012
2012,7,SYSTEM,ALL,237089.95,2012
2012,8,SYSTEM,ALL,78666.2893,2012
2012,9,SYSTEM,ALL,39921.759,2012
2012,10,SYSTEM,ALL,115474.411,2013
2012,11,SYSTEM,ALL,155970.36099999998,2013
2012,12,SYSTEM,ALL,106589.926,2013
2013,1,SYSTEM,ALL,56401.4429,2013
2013,2,SYSTEM,ALL,54828.223999999995,2013
2013,3,SYSTEM,ALL,122826.894,2013
2013,4,SYSTEM,ALL,250989.327,2013
2013,5,SYSTEM,ALL,377375.13,2013
2013,6,SYSTEM,ALL,236052.869,2013
2013,7,SYSTEM,ALL,98822.74600000001,2013
2013,8,SYSTEM,ALL,53948.7424,2013
2013,9,SYSTEM,ALL,77050.907,2013
2013,10,SYSTEM,ALL,81507.423,2014
2013,11,SYSTEM,ALL,121059.125,2014
2013,12,SYSTEM,ALL,106550.259,2014
2014,1,SYSTEM,ALL,99229.772,2014
2014,2,SYSTEM,ALL,68201.852,2014
2014,3,SYSTEM,ALL,226288.217,2014
2014,4,SYSTEM,ALL,221906.67099999997,2014
2014,5,SYSTEM,ALL,394476.752,2014
2014,6,SYSTEM,ALL,259074.86200000002,2014
2014,7,SYSTEM,ALL,133131.334,2014
2014,8,SYSTEM,ALL,63692.829900000004,2014
2014,9,SYSTEM,ALL,41102.4659,2014
2014,10,SYSTEM,ALL,102323.47699999998,2015
2014,11,SYSTEM,ALL,230164.47999999998,2015
2014,12,SYSTEM,ALL,181751.838,2015
2015,1,SYSTEM,ALL,224972.882,2015
2015,2,SYSTEM,ALL,196880.02099999998,2015
2015,3,SYSTEM,ALL,160431.286,2015
2015,4,SYSTEM,ALL,104639.645,2015
2015,5,SYSTEM,ALL,116746.06300000001,2015
2015,6,SYSTEM,ALL,60744.9131,2015
2015,7,SYSTEM,ALL,37064.7346,2015
2015,8,SYSTEM,ALL,34496.5816,2015
2015,9,SYSTEM,ALL,32145.596100000002,2015
2015,10,SYSTEM,ALL,87941.6278,2016
2015,11,SYSTEM,ALL,262604.958,2016
2015,12,SYSTEM,ALL,232289.669,2016
2016,1,SYSTEM,ALL,83372.706,2016
2016,2,SYSTEM,ALL,220959.927,2016
2016,3,SYSTEM,ALL,175749.777,2016
2016,4,SYSTEM,ALL,352713.178,2016
2016,5,SYSTEM,ALL,320501.97000000003,2016
2016,6,SYSTEM,ALL,167191.88450000001,2016
2016,7,SYSTEM,ALL,82795.5375,2016
2016,8,SYSTEM,ALL,49298.0601,2016
2016,9,SYSTEM,ALL,39288.8574,2016
2016,10,SYSTEM,ALL,177723.74099999998,2017
2016,11,SYSTEM,ALL,144605.797,2017
2016,12,SYSTEM,ALL,72330.0965,2017
2017,1,SYSTEM,ALL,46461.1549,2017
2017,2,SYSTEM,ALL,79771.5216,2017
2017,3,SYSTEM,ALL,213055.528,2017
2017,4,SYSTEM,ALL,220333.902,2017
2017,5,SYSTEM,ALL,472486.01999999996,2017
2017,6,SYSTEM,ALL,297092.216,2017
2017,7,SYSTEM,ALL,104991.4116,2017
2017,8,SYSTEM,ALL,57402.7621,2017
2017,9,SYSTEM,ALL,40476.151999999995,2017
2017,10,SYSTEM,ALL,118641.32299999999,2018
2017,11,SYSTEM,ALL,198791.667,2018
2017,12,SYSTEM,ALL,107024.557,2018
2018,1,SYSTEM,ALL,122219.61200000001,2018
2018,2,SYSTEM,ALL,164264.29,2018
2018,3,SYSTEM,ALL,78856.8505,2018
2018,4,SYSTEM,ALL,220648.25900000002,2018
2018,5,SYSTEM,ALL,497430.7,2018
2018,6,SYSTEM,ALL,179866.71,2018
2018,7,SYSTEM,ALL,88357.3936,2018
2018,8,SYSTEM,ALL,52000.7816,2018
2018,9,SYSTEM,ALL,34916.044799999996,2018
2018,10,SYSTEM,ALL,50061.880000000005,2019
2018,11,SYSTEM,ALL,128592.76,2019
2018,12,SYSTEM,ALL,93562.455,2019
2019,1,SYSTEM,ALL,104133.167,2019
2019,2,SYSTEM,ALL,54554.177500000005,2019
2019,3,SYSTEM,ALL,59707.4774,2019
2019,4,SYSTEM,ALL,214719.714,2019
2019,5,SYSTEM,ALL,295913.661,2019
2019,6,SYSTEM,ALL,141733.0035,2019
2019,7,SYSTEM,ALL,70060.5313,2019
2019,8,SYSTEM,ALL,47312.4595,2019
2019,9,SYSTEM,ALL,41821.358,2019
2019,10,SYSTEM,ALL,98335.463,2020
2019,11,SYSTEM,ALL,52845.5884,2020
2019,12,SYSTEM,ALL,100869.196,2020
2020,1,SYSTEM,ALL,193142.126,2020
2020,2,SYSTEM,ALL,212838.192,2020
2020,3,SYSTEM,ALL,80114.0138,2020
2020,4,SYSTEM,ALL,203008.13,2020
2020,5,SYSTEM,ALL,351763.625,2020
2020,6,SYSTEM,ALL,235987.055,2020
2020,7,SYSTEM,ALL,105939.122,2020
2020,8,SYSTEM,ALL,56262.755800000006,2020
2020,9,SYSTEM,ALL,48536.636,2020
2020,10,SYSTEM,ALL,135670,2021
2020,11,SYSTEM,ALL,123270,2021
2020,12,SYSTEM,ALL,105860,2021
2021,1,SYSTEM,ALL,140830,2021
2021,2,SYSTEM,ALL,89770,2021
2021,3,SYSTEM,ALL,73230,2021
2021,4,SYSTEM,ALL,185960,2021
2021,5,SYSTEM,ALL,359190,2021
2021,6,SYSTEM,ALL,351220,2021
2021,7,SYSTEM,ALL,107840,2021
2021,8,SYSTEM,ALL,53390,2021
2021,9,SYSTEM,ALL,38570,2021
2021,10,SYSTEM,ALL,80270,2022
2021,11,SYSTEM,ALL,326510,2022
2021,12,SYSTEM,ALL,122400,2022
2022,1,SYSTEM,ALL,158320,2022
2022,2,SYSTEM,ALL,95240,2022
2022,3,SYSTEM,ALL,200630,2022
2022,4,SYSTEM,ALL,129850,2022
2022,5,SYSTEM,ALL,313620,2022
2022,6,SYSTEM,ALL,408900,2022
2022,7,SYSTEM,ALL,155900,2022
2022,8,SYSTEM,ALL,50560,2022
2022,9,SYSTEM,ALL,35540,2022
2022,10,SYSTEM,ALL,33470,2023
2022,11,SYSTEM,ALL,103780,2023
2022,12,SYSTEM,ALL,84960,2023
2023,1,SYSTEM,ALL,77870,2023
2023,2,SYSTEM,ALL,55290,2023
2023,3,SYSTEM,ALL,46110,2023
2023,4,SYSTEM,ALL,141910,2023
2023,5,SYSTEM,ALL,443000,2023
2023,6,SYSTEM,ALL,127540,2023
2023,7,SYSTEM,ALL,61490,2023
2023,8,SYSTEM,ALL,48280,2023
2023,9,SYSTEM,ALL,41240,2023
2023,10,SYSTEM,ALL,27480,2024
2023,11,SYSTEM,ALL,91900,2024
2023,12,SYSTEM,ALL,166200,2024
2024,1,SYSTEM,ALL,92170,2024
2024,2,SYSTEM,ALL,116750,2024
2024,3,SYSTEM,ALL,119530,2024
2024,4,SYSTEM,ALL,164210,2024
2024,5,SYSTEM,ALL,217910,2024
2024,6,SYSTEM,ALL,195220,2024
2024,7,SYSTEM,ALL,83340,2024
2024,8,SYSTEM,ALL,44270,2024
2024,9,SYSTEM,ALL,32120,2024
2024,10,SYSTEM,ALL,35650,2025
2024,11,SYSTEM,ALL,82300,2025
2024,12,SYSTEM,ALL,78600,2025
2025,1,SYSTEM,ALL,67270,2025
2025,2,SYSTEM,ALL,62950,2025
2025,3,SYSTEM,ALL,209200,2025
2025,4,SYSTEM,ALL,219290,2025
2025,5,SYSTEM,ALL,248350,2025
2025,6,SYSTEM,ALL,147730,2025
2025,7,SYSTEM,ALL,55710,2025
2025,8,SYSTEM,ALL,40050,2025
2025,9,SYSTEM,ALL,15490,2025
2025,10,SYSTEM,ALL,40400,2026
2025,11,SYSTEM,ALL,171910,2026
2025,12,SYSTEM,ALL,510370,2026
2026,1,SYSTEM,ALL,162790,2026
2026,2,SYSTEM,ALL,103860,2026
2026,3,SYSTEM,ALL,311570,2026
2026,4,SYSTEM,ALL,157980,2026
2026,5,SYSTEM,ALL,163100,2026
1991,1,BUMW1,BUM,14620.159,1991
1991,2,BUMW1,BUM,29299.328,1991
1991,3,BUMW1,BUM,11956.536,1991
1991,4,BUMW1,BUM,19647.457,1991
1991,5,BUMW1,BUM,32549.007,1991
1991,6,BUMW1,BUM,34537.464,1991
