reservoir,pcode,year,month,mean_cfs,n_days,volume_af,water_year
CLE,QU,2016,8,275.4658064516129,31,16937.732231404956,2016
CLE,QU,2016,9,153.653,30,9142.988429752068,2016
CLE,QU,2016,10,1005.056129032258,31,61798.49256198347,2017
CLE,QU,2016,11,963.0326666666666,30,57304.42314049587,2017
CLE,QU,2016,12,411.4641935483871,31,25299.947107438016,2017
CLE,QU,2017,1,188.61870967741936,31,11597.712396694216,2017
CLE,QU,2017,2,371.22464285714284,28,20616.773553719006,2017
CLE,QU,2017,3,1053.4632258064516,31,64774.92892561984,2017
CLE,QU,2017,4,1360.232,30,80939.42479338843,2017
CLE,QU,2017,5,3080.3267741935483,31,189401.91074380168,2017
CLE,QU,2017,6,2030.574,30,120827.5438016529,2017
CLE,QU,2017,7,728.4648387096775,31,44791.55702479339,2017
CLE,QU,2017,8,299.1741935483871,31,18395.504132231406,2017
CLE,QU,2017,9,127.75933333333333,30,7602.20826446281,2017
CLE,QU,2017,10,628.5009677419355,31,38645.01818181818,2018
CLE,QU,2017,11,1257.7973333333334,30,74844.13884297523,2018
CLE,QU,2017,12,582.2145161290323,31,35798.975206611576,2018
CLE,QU,2018,1,572.3922580645161,31,35195.028099173556,2018
CLE,QU,2018,2,1057.0228571428572,28,58704.07933884298,2018
CLE,QU,2018,3,423.23064516129034,31,26023.43801652893,2018
CLE,QU,2018,4,1473.4256666666668,30,87674.91570247935,2018
CLE,QU,2018,5,3726.4351612903224,31,229129.56694214875,2018
CLE,QU,2018,6,1390.471,30,82738.77024793388,2018
CLE,QU,2018,7,668.3870967741935,31,41097.520661157025,2018
CLE,QU,2018,8,352.9877419354839,31,21704.370247933886,2018
CLE,QU,2018,9,111.98766666666667,30,6663.7289256198355,2018
CLE,QU,2018,10,200.4251612903226,31,12323.662809917356,2019
CLE,QU,2018,11,910.1036666666666,30,54154.92892561984,2019
CLE,QU,2018,12,531.4587096774194,31,32678.12231404959,2019
CLE,QU,2019,1,670.8254838709678,31,41247.451239669426,2019
CLE,QU,2019,2,381.0032142857143,28,21159.8479338843,2019
CLE,QU,2019,3,373.6316129032258,31,22973.712396694216,2019
CLE,QU,2019,4,1531.189,30,91112.07272727274,2019
CLE,QU,2019,5,2067.2967741935486,31,127113.12396694216,2019
CLE,QU,2019,6,1045.0123333333333,30,62182.5520661157,2019
CLE,QU,2019,7,507.9058064516129,31,31229.910743801654,2019
CLE,QU,2019,8,295.05064516129033,31,18141.957024793388,2019
CLE,QU,2019,9,185.674,30,11048.370247933884,2019
CLE,QU,2019,10,631.7819354838709,31,38846.75702479338,2020
CLE,QU,2019,11,357.49733333333336,30,21272.568595041324,2020
CLE,QU,2019,12,477.79483870967744,31,29378.459504132235,2020
CLE,QU,2020,1,1145.2116129032258,31,70416.3173553719,2020
CLE,QU,2020,2,1534.4362068965518,29,88261.78512396695,2020
CLE,QU,2020,3,470.2048387096774,31,28911.768595041325,2020
CLE,QU,2020,4,1330.5423333333333,30,79172.76694214875,2020
CLE,QU,2020,5,2455.2364516129032,31,150966.6049586777,2020
CLE,QU,2020,6,1729.7183333333332,30,102925.38842975206,2020
CLE,QU,2020,7,817.8890322580645,31,50290.03636363637,2020
CLE,QU,2020,8,392.1448387096774,31,24112.046280991737,2020
CLE,QU,2020,9,249.51933333333335,30,14847.43140495868,2020
CLE,QU,2020,10,820.9245161290322,31,50476.680991735535,2021
CLE,QU,2020,11,912.5556666666666,30,54300.83305785124,2021
CLE,QU,2020,12,608.0870967741936,31,37389.818181818184,2021
CLE,QU,2021,1,740.6929032258065,31,45543.43140495868,2021
CLE,QU,2021,2,597.5589285714286,28,33186.7438016529,2021
CLE,QU,2021,3,470.00774193548386,31,28899.64958677686,2021
CLE,QU,2021,4,1367.6386666666667,30,81380.15206611571,2021
CLE,QU,2021,5,2526.253548387097,31,155333.27603305786,2021
